Hour,PV,WT,HY
382,0,0.42,0.66
383,0,0.382,0.66
384,0,0.44,0.66
385,0,0.558,0.66
386,0,0.506,0.66
387,0,0.421,0.66
388,0,0.396,0.66
389,0,0.391,0.66
390,0,0.402,0.66
391,0.007,0.343,1
392,0.043,0.249,1
393,0.089,0.156,1
394,0.129,0.13,1
395,0.161,0.141,1
396,0.191,0.162,1
397,0.235,0.162,1
398,0.278,0.147,1
399,0.324,0.116,1
400,0.318,0.082,1
401,0.283,0.046,1
402,0.262,0.023,1
403,0.18,0.007,1
404,0.07,0,1
405,0.003,0.001,1
406,0,0.01,0.66
407,0,0.051,0.66
408,0,0.074,0.66
409,0,0.073,0.66
410,0,0.085,0.66
411,0,0.095,0.66
412,0,0.109,0.66
413,0,0.116,0.66
414,0,0.109,0.66
415,0.027,0.078,1
416,0.112,0.021,1
417,0.269,0.01,1
418,0.432,0,1
419,0.571,0,1
420,0.662,0,1
421,0.707,0.001,1
422,0.72,0.004,1
423,0.69,0.01,1
424,0.609,0.01,1
425,0.493,0.005,1
426,0.342,0.004,1
427,0.195,0.018,1
428,0.063,0.042,1
429,0.004,0.03,1
430,0,0.065,0.66
431,0,0.231,0.66
432,0,0.427,0.66
433,0,0.422,0.66
434,0,0.446,0.66
435,0,0.523,0.66
436,0,0.483,0.66
437,0,0.535,0.66
438,0,0.525,0.66
439,0.028,0.447,1
440,0.119,0.376,1
441,0.26,0.444,1
442,0.387,0.527,1
443,0.427,0.454,1
444,0.402,0.38,1
445,0.331,0.433,1
446,0.27,0.504,1
447,0.238,0.55,1
448,0.211,0.585,1
449,0.168,0.587,1
450,0.12,0.538,1
451,0.087,0.506,1
452,0.03,0.51,1
453,0,0.498,1
454,0,0.479,0.66
455,0,0.457,0.66
456,0,0.464,0.66
457,0,0.488,0.66
458,0,0.491,0.66
459,0,0.472,0.66
460,0,0.466,0.66
461,0,0.47,0.66
462,0,0.554,0.66
463,0.01,0.498,1
464,0.063,0.389,1
465,0.151,0.387,1
466,0.199,0.447,1
467,0.252,0.581,1
468,0.36,0.656,1
